Order ID,Amount,Profit,Quantity,Category,Sub-Category,PaymentMode,prise per item,profit per item
B-25681,1096,658,7,Electronics,Electronic Games,COD,156.5714286,94
B-26055,5729,64,14,Furniture,Chairs,EMI,409.2142857,4.571428571
B-25955,2927,146,8,Furniture,Bookcases,EMI,365.875,18.25
B-26093,2847,712,8,Electronics,Printers,Credit Card,355.875,89
B-25602,2617,1151,4,Electronics,Phones,Credit Card,654.25,287.75
B-25881,2244,247,4,Clothing,Trousers,Credit Card,561,61.75
B-25696,275,-275,4,Clothing,Saree,COD,68.75,-68.75
B-25687,387,-213,5,Clothing,Saree,UPI,77.4,-42.6
B-25643,50,-44,2,Clothing,Hankerchief,UPI,25,-22
B-25851,135,-54,5,Clothing,Kurti,COD,27,-10.8
B-25703,231,-190,9,Clothing,Hankerchief,COD,25.66666667,-21.11111111
B-25887,2125,-234,6,Electronics,Printers,EMI,354.1666667,-39
B-25923,3873,-891,6,Electronics,Phones,Credit Card,645.5,-148.5
B-25756,729,-492,5,Furniture,Bookcases,UPI,145.8,-98.4
B-25761,2188,1050,5,Furniture,Bookcases,Credit Card,437.6,210
B-25655,6,-3,1,Clothing,Hankerchief,UPI,6,-3
B-25786,1854,433,5,Furniture,Bookcases,Credit Card,370.8,86.6
B-26095,6,1,1,Clothing,Kurti,UPI,6,1
B-25853,2093,721,5,Furniture,Chairs,Credit Card,418.6,144.2
B-25735,7,-1,2,Clothing,Skirt,UPI,3.5,-0.5
B-25910,1622,-624,5,Furniture,Tables,Credit Card,324.4,-124.8
B-25950,1622,95,5,Electronics,Printers,Credit Card,324.4,19
B-25744,373,254,6,Electronics,Printers,UPI,62.16666667,42.33333333
B-25845,82,-33,4,Clothing,Kurti,COD,20.5,-8.25
B-26001,8,2,2,Clothing,Skirt,UPI,4,1
B-25830,1954,782,3,Electronics,Phones,Credit Card,651.3333333,260.6666667
B-25842,1543,370,8,Electronics,Printers,Credit Card,192.875,46.25
B-25778,1506,-266,6,Electronics,Printers,Credit Card,251,-44.33333333
B-25686,1829,-56,6,Furniture,Tables,Credit Card,304.8333333,-9.333333333
B-25754,9,-1,3,Clothing,Skirt,UPI,3,-0.333333333
B-26048,1461,202,5,Furniture,Tables,EMI,292.2,40.4
B-25816,391,113,8,Clothing,Stole,COD,48.875,14.125
B-26022,1824,1303,8,Electronics,Phones,Credit Card,228,162.875
B-25883,16,-15,4,Clothing,Hankerchief,UPI,4,-3.75
B-26003,1745,122,2,Furniture,Tables,Credit Card,872.5,61
B-26097,663,-212,5,Electronics,Printers,UPI,132.6,-42.4
B-25710,10,-1,1,Clothing,Leggings,UPI,10,-1
B-25797,1630,802,5,Furniture,Tables,EMI,326,160.4
B-25618,12,0,2,Clothing,Hankerchief,UPI,6,0
B-25723,12,-7,2,Clothing,Leggings,UPI,6,-3.5
B-25755,1709,564,3,Clothing,Trousers,Credit Card,569.6666667,188
B-25788,12,3,1,Clothing,Stole,UPI,12,3
B-25681,1625,-77,3,Electronics,Phones,EMI,541.6666667,-25.66666667
B-25991,13,5,2,Clothing,Hankerchief,UPI,6.5,2.5
B-25779,1361,980,3,Furniture,Tables,COD,453.6666667,326.6666667
B-25909,1622,-448,3,Electronics,Phones,EMI,540.6666667,-149.3333333
B-25943,1547,340,6,Electronics,Accessories,EMI,257.8333333,56.66666667
B-25935,1657,460,4,Furniture,Chairs,Credit Card,414.25,115
B-25613,1603,0,9,Clothing,Saree,Credit Card,178.1111111,0
B-25729,1549,-439,4,Electronics,Phones,Credit Card,387.25,-109.75
B-25772,1183,106,4,Electronics,Printers,EMI,295.75,26.5
B-25655,74,-123,8,Clothing,Skirt,UPI,9.25,-15.375
B-25640,1499,239,13,Clothing,Saree,Credit Card,115.3076923,18.38461538
B-25810,1120,199,6,Clothing,Saree,EMI,186.6666667,33.16666667
B-25801,15,-2,1,Clothing,T-shirt,Debit Card,15,-2
B-26085,1487,624,3,Clothing,Trousers,Credit Card,495.6666667,208
B-25868,1118,206,2,Furniture,Tables,Credit Card,559,103
B-25714,11,-5,2,Clothing,Hankerchief,COD,5.5,-2.5
B-25784,15,4,1,Clothing,Hankerchief,Debit Card,15,4
B-25608,1364,1864,5,Furniture,Tables,Credit Card,272.8,372.8
B-26051,1337,147,7,Electronics,Printers,Credit Card,191,21
B-25900,15,2,1,Clothing,Leggings,Debit Card,15,2
B-25760,322,-193,5,Electronics,Printers,UPI,64.4,-38.6
B-25762,1316,527,7,Electronics,Electronic Games,Credit Card,188,75.28571429
B-25995,1314,342,3,Furniture,Bookcases,Credit Card,438,114
B-25965,17,7,3,Clothing,Hankerchief,Debit Card,5.666666667,2.333333333
B-25967,17,2,2,Clothing,Skirt,Debit Card,8.5,1
B-25674,17,-12,5,Clothing,Skirt,Debit Card,3.4,-2.4
B-25929,1308,536,3,Furniture,Bookcases,Credit Card,436,178.6666667
B-25777,1076,-38,4,Electronics,Printers,Credit Card,269,-9.5
B-26006,1301,573,5,Electronics,Accessories,Credit Card,260.2,114.6
B-25697,1300,-16,8,Electronics,Printers,Credit Card,162.5,-2
B-25667,11,-2,4,Clothing,Hankerchief,COD,2.75,-0.5
B-25836,1298,65,9,Electronics,Printers,EMI,144.2222222,7.222222222
B-25984,304,97,6,Clothing,Stole,UPI,50.66666667,16.16666667
B-25728,1055,264,4,Electronics,Printers,EMI,263.75,66
B-25757,17,-13,4,Clothing,Skirt,Debit Card,4.25,-3.25
B-25957,147,73,3,Clothing,Stole,COD,49,24.33333333
B-26061,965,-68,3,Electronics,Printers,COD,321.6666667,-22.66666667
B-25735,12,-2,3,Clothing,Hankerchief,COD,4,-0.666666667
B-25616,14,-2,3,Clothing,Hankerchief,UPI,4.666666667,-0.666666667
B-25666,934,-916,7,Electronics,Electronic Games,COD,133.4285714,-130.8571429
B-25675,929,-93,9,Clothing,Saree,COD,103.2222222,-10.33333333
B-26079,18,3,2,Clothing,Hankerchief,Debit Card,9,1.5
B-25850,916,192,11,Electronics,Phones,COD,83.27272727,17.45454545
B-25693,76,-72,9,Clothing,Hankerchief,COD,8.444444444,-8
B-25852,869,67,4,Furniture,Tables,COD,217.25,16.75
B-25860,112,24,3,Clothing,Kurti,COD,37.33333333,8
B-25853,39,16,6,Clothing,Skirt,UPI,6.5,2.666666667
B-25898,857,-274,2,Furniture,Tables,COD,428.5,-137
B-26100,828,230,2,Furniture,Chairs,COD,414,115
B-25653,1279,-640,8,Electronics,Printers,EMI,159.875,-80
B-25839,1250,486,7,Clothing,Saree,EMI,178.5714286,69.42857143
B-25651,823,-18,7,Furniture,Chairs,COD,117.5714286,-2.571428571
B-25957,1157,-13,9,Furniture,Bookcases,Credit Card,128.5555556,-1.444444444
B-25704,126,-63,3,Electronics,Accessories,UPI,42,-21
B-25730,1145,-706,3,Electronics,Phones,Credit Card,381.6666667,-235.3333333
B-26052,774,170,3,Electronics,Accessories,COD,258,56.66666667
B-25656,24,-1,2,Clothing,Hankerchief,COD,12,-0.5
B-26033,774,170,3,Electronics,Accessories,COD,258,56.66666667
B-25850,93,-1,2,Clothing,Hankerchief,COD,46.5,-0.5
B-25945,765,-36,3,Electronics,Electronic Games,COD,255,-12
